12;7;10
50;43;52
76;76;50
16;24;71
46;28;84
92;79;76
82;97;82
47;8;8
46;7;94
35;58;44
49;60;15
51;61;97
55;9;9
54;34;65
55;50;90
26;77;53
42;5;78
3;33;60
40;25;10
44;35;17
79;29;54
80;55;19
97;24;6
91;19;3
41;52;46
29;31;13
11;85;10
93;19;70
66;43;39
19;42;28
41;53;85
36;96;59
55;66;49
9;85;99
100;13;73
84;48;49
51;55;92
73;64;37
22;76;25
86;85;94
6;36;78
90;66;100
76;16;67
88;38;11
12;96;11
34;30;49
67;29;25
68;37;64
82;18;68
93;54;11
73;61;75
82;70;55
96;63;52
51;51;87
28;14;29
98;22;28
1;12;18
11;26;53
92;43;90
48;85;56
4;67;52
49;26;15
65;31;41
28;17;85
45;67;56
33;92;76
59;58;41
62;38;47
52;21;38
4;56;66
39;3;57
40;19;58
72;18;30
18;50;60
18;18;41
30;66;69
92;31;70
15;71;63
100;39;96
10;79;16
23;19;9
44;99;97
92;97;60
8;67;92
30;43;32
9;2;64
13;95;41
34;60;55
34;56;80
57;41;95
54;9;31
19;70;24
100;60;45
85;22;6
91;71;92
11;61;7
9;33;63
74;12;69
77;32;81
25;86;43
